Bandit,Reward,Algorithm
1,0,Thompson Sampling
2,0,Thompson Sampling
3,0,Thompson Sampling
4,1,Thompson Sampling
5,0,Thompson Sampling
6,1,Thompson Sampling
7,1,Thompson Sampling
8,0,Thompson Sampling
9,0,Thompson Sampling
10,0,Thompson Sampling
11,0,Thompson Sampling
12,0,Thompson Sampling
13,0,Thompson Sampling
14,0,Thompson Sampling
15,1,Thompson Sampling
16,0,Thompson Sampling
17,0,Thompson Sampling
18,0,Thompson Sampling
19,1,Thompson Sampling
20,1,Thompson Sampling
21,0,Thompson Sampling
22,0,Thompson Sampling
23,1,Thompson Sampling
24,0,Thompson Sampling
25,0,Thompson Sampling
26,0,Thompson Sampling
27,0,Thompson Sampling
28,0,Thompson Sampling
29,1,Thompson Sampling
30,1,Thompson Sampling
31,1,Thompson Sampling
32,0,Thompson Sampling
33,0,Thompson Sampling
34,0,Thompson Sampling
35,0,Thompson Sampling
36,0,Thompson Sampling
37,0,Thompson Sampling
38,0,Thompson Sampling
39,0,Thompson Sampling
40,1,Thompson Sampling
41,0,Thompson Sampling
42,0,Thompson Sampling
43,0,Thompson Sampling
44,1,Thompson Sampling
45,0,Thompson Sampling
46,1,Thompson Sampling
47,1,Thompson Sampling
48,1,Thompson Sampling
49,0,Thompson Sampling
50,0,Thompson Sampling
51,1,Thompson Sampling
52,1,Thompson Sampling
53,0,Thompson Sampling
54,0,Thompson Sampling
55,0,Thompson Sampling
56,1,Thompson Sampling
57,1,Thompson Sampling
58,0,Thompson Sampling
59,1,Thompson Sampling
60,0,Thompson Sampling
61,0,Thompson Sampling
62,0,Thompson Sampling
63,0,Thompson Sampling
64,0,Thompson Sampling
65,0,Thompson Sampling
66,1,Thompson Sampling
67,0,Thompson Sampling
68,1,Thompson Sampling
69,0,Thompson Sampling
70,0,Thompson Sampling
71,1,Thompson Sampling
72,0,Thompson Sampling
73,0,Thompson Sampling
74,0,Thompson Sampling
75,0,Thompson Sampling
76,0,Thompson Sampling
77,0,Thompson Sampling
78,1,Thompson Sampling
79,1,Thompson Sampling
80,0,Thompson Sampling
81,0,Thompson Sampling
82,0,Thompson Sampling
83,0,Thompson Sampling
84,0,Thompson Sampling
85,0,Thompson Sampling
86,0,Thompson Sampling
87,0,Thompson Sampling
88,0,Thompson Sampling
89,0,Thompson Sampling
90,0,Thompson Sampling
91,0,Thompson Sampling
92,0,Thompson Sampling
93,1,Thompson Sampling
94,0,Thompson Sampling
95,0,Thompson Sampling
96,0,Thompson Sampling
97,1,Thompson Sampling
98,1,Thompson Sampling
99,1,Thompson Sampling
100,1,Thompson Sampling
101,1,Thompson Sampling
102,0,Thompson Sampling
103,0,Thompson Sampling
104,0,Thompson Sampling
105,0,Thompson Sampling
106,0,Thompson Sampling
107,1,Thompson Sampling
108,1,Thompson Sampling
109,0,Thompson Sampling
110,1,Thompson Sampling
111,1,Thompson Sampling
112,1,Thompson Sampling
113,0,Thompson Sampling
114,1,Thompson Sampling
115,1,Thompson Sampling
116,1,Thompson Sampling
117,0,Thompson Sampling
118,0,Thompson Sampling
119,0,Thompson Sampling
120,0,Thompson Sampling
121,0,Thompson Sampling
122,0,Thompson Sampling
123,0,Thompson Sampling
124,1,Thompson Sampling
125,1,Thompson Sampling
126,0,Thompson Sampling
127,1,Thompson Sampling
128,0,Thompson Sampling
129,0,Thompson Sampling
130,1,Thompson Sampling
131,1,Thompson Sampling
132,1,Thompson Sampling
133,0,Thompson Sampling
134,1,Thompson Sampling
135,0,Thompson Sampling
136,0,Thompson Sampling
137,0,Thompson Sampling
138,1,Thompson Sampling
139,1,Thompson Sampling
140,0,Thompson Sampling
141,0,Thompson Sampling
142,1,Thompson Sampling
143,0,Thompson Sampling
144,1,Thompson Sampling
145,0,Thompson Sampling
146,0,Thompson Sampling
147,1,Thompson Sampling
148,0,Thompson Sampling
149,0,Thompson Sampling
150,1,Thompson Sampling
151,0,Thompson Sampling
152,0,Thompson Sampling
153,0,Thompson Sampling
154,0,Thompson Sampling
155,0,Thompson Sampling
156,0,Thompson Sampling
157,1,Thompson Sampling
158,0,Thompson Sampling
159,0,Thompson Sampling
160,0,Thompson Sampling
161,0,Thompson Sampling
162,1,Thompson Sampling
163,1,Thompson Sampling
164,1,Thompson Sampling
165,1,Thompson Sampling
166,0,Thompson Sampling
167,1,Thompson Sampling
168,0,Thompson Sampling
169,0,Thompson Sampling
170,0,Thompson Sampling
171,1,Thompson Sampling
172,0,Thompson Sampling
173,0,Thompson Sampling
174,1,Thompson Sampling
175,1,Thompson Sampling
176,0,Thompson Sampling
177,0,Thompson Sampling
178,1,Thompson Sampling
179,0,Thompson Sampling
180,1,Thompson Sampling
181,0,Thompson Sampling
182,0,Thompson Sampling
183,0,Thompson Sampling
184,0,Thompson Sampling
185,0,Thompson Sampling
